id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
112,440,419800,6720 N 81ST AVE,85303,UCB (Under Contract-Backups),6364985,CHAPARRAL COUNTRY AMD,1986,3,2.0,1473.0,0.0,Cartwright,95.89
113,478,415000,7811 W OREGON AVE,85303,Active,6393068,MEADOWS 2,1973,4,1.0,1492.0,0.0,Cartwright,95.89
114,497,360000,7213 W SAN JUAN AVE,85303,UCB (Under Contract-Backups),6391317,SKYVIEW WEST UNIT THREE,1976,2,1.0,1482.0,0.0,Cartwright,95.89
115,498,399900,6022 N 68TH DR,85303,UCB (Under Contract-Backups),6343199,FIRESIDE VILLAS,2006,4,2.0,1872.0,0.0,Cartwright,95.89
116,525,440000,7024 N 77TH DR,85303,Active,6382874,DESERT GLEN ESTATES,2002,3,2.5,1866.0,0.0,Cartwright,95.89
117,530,510000,7230 N 72ND AVE,85303,Active,6354351,PARADISE VIEWS 2,2001,4,2.5,2456.0,0.0,Cartwright,95.89
118,574,459000,6801 W NICOLET AVE,85303,Active,6391834,SUMMERFIELD PLACE 4,2004,4,2.0,1847.0,0.0,Cartwright,95.89
119,625,430000,7990 W SOLANO DR N,85303,UCB (Under Contract-Backups),6385153,BETHANY POINT,1999,2,2.0,1287.0,0.0,Cartwright,95.89
120,654,699000,7597 W ROVEY AVE,85303,Active,6390834,TESSERA,2013,5,3.0,3804.0,0.0,Cartwright,95.89
121,725,400000,7167 W MARLETTE AVE,85303,UCB (Under Contract-Backups),6387200,CAMINO ESTATES,2003,3,2.0,1492.0,0.0,Cartwright,95.89
122,752,449900,7275 W CACTUS WREN DR,85303,UCB (Under Contract-Backups),6386192,WESTGLEN VILLAS,2012,4,2.5,2047.0,0.0,Cartwright,95.89
123,759,459700,6757 N 75TH DR,85303,UCB (Under Contract-Backups),6371011,CASA LINDA,1999,3,2.5,1457.0,0.0,Cartwright,95.89
124,824,519000,7970 W MEDLOCK DR,85303,Active,6387578,EL PRADO,2021,4,2.0,1790.0,0.0,Cartwright,95.89
125,827,449000,7594 W STATE AVE,85303,UCB (Under Contract-Backups),6386243,ORANGEWOOD ESTATES,2003,3,2.0,1875.0,0.0,Cartwright,95.89
126,837,405000,7617 W Nicolet AVE,85303,UCB (Under Contract-Backups),6384565,Orangewood Estates,2003,3,2.0,1546.0,0.0,Cartwright,95.89
127,868,489900,7520 W SAN JUAN AVE,85303,Active,6386561,WEST PLAZA 29 & 30 LOTS 263-343 AND TRACTS A-C,1990,3,2.0,1795.0,0.0,Cartwright,95.89
128,875,399900,7755 W PALMAIRE AVE,85303,UCB (Under Contract-Backups),6383847,GLEN PARK AMD LOT 1-72,1991,3,2.0,1277.0,0.0,Cartwright,95.89
129,876,410000,7330 N 68TH LN,85303,Active,6382847,SUMMERFIELD PLACE 4,2004,3,2.0,1458.0,0.0,Cartwright,95.89
130,881,399000,5032 N 69TH AVE,85303,UCB (Under Contract-Backups),6384757,WEST CAMELBACK VILLAGE 2 AMD,1976,4,2.0,1603.0,0.0,Cartwright,95.89
131,987,385000,6719 W NORTHVIEW AVE,85303,UCB (Under Contract-Backups),6374550,SUMMERFIELD PLACE 3,2001,3,2.0,1350.0,0.0,Cartwright,95.89
132,1116,370000,7233 W COLTER ST,85303,Closed,6376257,WEST CAMELBACK VILLAGE 3,1978,2,2.0,1048.0,0.0,Cartwright,95.89
133,1127,475000,7856 W SAN MIGUEL AVE,85303,Closed,6379837,MONTEBELLO ESTATES,1999,4,2.0,1930.0,0.0,Cartwright,95.89
134,1175,330000,6751 W ORANGE DR,85303,Closed,6377947,WEST CAMELBACK VILLAGE,1973,2,1.0,816.0,0.0,Cartwright,95.89
135,1202,585000,7315 N 82ND DR,85303,Closed,6356297,WEST GLENN ESTATES,2002,5,3.0,2629.0,0.0,Cartwright,95.89
136,1216,541600,7916 W ROSE LN,85303,Closed,6384065,SHADOW VIEW RANCH LOT 1-46 TR A-C,1995,4,2.0,2150.0,0.0,Cartwright,95.89
